Business_Name,Address,Phone Number,Website,Status,Online Ordering,Pick-Up,Walk-Up,Delivery,Doordash,Grubhub,Postmates,Ubereats,E-Gift Cards,Gift Cards,"Notes (i.e. modified hours, special offerings, etc. )",Last Updated
101,1118 S Charles St,(443) 682-9480,www.101baltimore.com,CLOSED,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
&pizza,1201 S Charles St,(202) 558-7549,https://andpizza.com/,OPEN,https://order.andpizza.com/#/shops,X,X,X,,,,,https://rallyforrestaurants.com/,,,3/18/20
1157 Bar + Kitchen,1157 Haubert St,(443) 449-5525,1157barandkitchen.com,CLOSED,,,,,,,,,,,,3/18/20
3 Bean,209 Key Hwy,(410) 216-3339,https://www.vagrantcoffee.com/,OPEN,,X,X,,,,,,https://squareup.com/gift/YZ32XX9WMFG33/order,YES,,3/18/20
Abbey Burger Bistro,1041 Marshall St,(443) 453-9698,www.abbeyburgerbistro.com,OPEN,,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
Afters,1001 S Charles St,(410) 244-0909,www.afters-cafe.com,OPEN,,X,X,,,X,,X,,,,3/18/20
AJ's on Hanover,1500 S Hanover St,(410) 800-2657,http://ajsonhanover.com/,OPEN,Order by phone,X,,,,,,,,,,
Amber,900 E Fort Ave,(443) 835-4060,ambercafe.com,OPEN,amber.mobilebytes.com,X,,,,,,,,,,3/18/20
Annoulas Greek Kitchen,Cross Street Market,(443) 835-4494,https://www.annoulaskitchen.com/,OPEN,https://www.annoulaskitchen.com/,X,X,X,X,,,,,X,,3/18/20
Arabian Nights Hookah lounge,745 E Fort Ave,(443) 438-7417,www.arabiannightslounge.net,CLOSED,,,,,X,,,,,,,
Banditos,1118 S Charles St,(443) 835-1517,https://www.banditosbk.com/,CLOSED,,,,,,,,,https://www.toasttab.com/banditos-bar-kitchen/giftcards,,,3/18/20
Barflys,620 E Fort Ave,(443) 682-7227,barflysbaltimore.com,OPEN,,X,,,,,,,,,,3/18/20
Barracudas,1230 E Fort Ave,(410) 685-2832,https://barracudalpt.com/,OPEN,,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
Berries by Quicha,920 Light St,(410) 440-3239,www.berriesbyquicha.com,OPEN,,X,X,X,,,,,,,,3/18/20
Blooming Deli,1448 Light St,(410) 800-2455,www.bloomingdeli.com,,,,,,,X,,X,,,,3/18/20
Blue Agave,1032 Light St,(410) 576-3938,www.blueagaverestaurant.com,OPEN,,X,X,X,X,X,,,,,,3/18/20
Blue Moon Too,1024 Light St,(443) 759-4907,https://bluemoonbaltimore.com/?fbclid=IwAR1y6AX8Rj56sgb5D67r1bI0GgyMLyERVryZ0O6RznF1ILq6o1BqMB6Bz4o,CLOSED,,,,,,,,,,,,3/18/20
Boaz Bistro,1002 Light St,(443) 352-3417,https://www.facebook.com/BistroBoaz/,OPEN,Order by phone,X,X,X,,,,,,,,
Bodhi Corner,1444 Light St,(443) 708-7527,https://bodhifedhill.com/,OPEN,,X,X,X,,X,,,https://rallyforrestaurants.com/,https://www.toasttab.com/bodhi-fedhill/giftcards,,3/18/20
