,Business_Name,Address,Phone Number,Website,Status,Online Ordering,Pick-Up,Walk-Up,Delivery,Doordash,Grubhub,Postmates,Ubereats,E-Gift Cards,Gift Cards,"Notes (i.e. modified hours, special offerings, etc. )",Last Updated,Latitude,Longitude
0,101,1118 S Charles St,(443) 682-9480,https://www.101baltimore.com/,CLOSED,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2761027,-76.6144276
1,&pizza,1201 S Charles St,(202) 558-7549,https://andpizza.com/,OPEN,https://order.andpizza.com/#/shops,X,X,X,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2757066,-76.6141337
2,1157 Bar + Kitchen,1157 Haubert St,(443) 449-5525,www.1157barandkitchen.com,CLOSED,,,,,,,,,,,,3/18/20,39.2730138,-76.5919761
3,3 Bean,209 Key Hwy,(410) 216-3339,https://www.vagrantcoffee.com/,OPEN,,X,X,,,,,,https://squareup.com/gift/YZ32XX9WMFG33/order,YES,,3/18/20,39.2805635,-76.6109914
4,Abbey Burger Bistro,1041 Marshall St,(443) 453-9698,https://abbeyburger.com/,OPEN,,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2772094,-76.6129099
5,Afters,1001 S Charles St,(410) 244-0909,https://fedhill.org/business/afters-cafe/,OPEN,,X,X,,,X,,X,,,,3/18/20,39.278051,-76.614268
6,AJ's on Hanover,1500 S Hanover St,(410) 800-2657,http://ajsonhanover.com/,OPEN,Order by phone,X,,,,,,,,,,,39.2724567,-76.6154704
7,Amber,900 E Fort Ave,(443) 835-4060,https://ambercafe.com,OPEN,amber.mobilebytes.com,X,,,,,,,,,,3/18/20,39.271781,-76.6006826
8,Annoulas Greek Kitchen,Cross Street Market,(443) 835-4494,https://www.annoulaskitchen.com/,OPEN,https://www.annoulaskitchen.com/,X,X,X,X,,,,,X,,3/18/20,39.2768086,-76.6133302
9,Arabian Nights Hookah lounge,745 E Fort Ave,(443) 438-7417,www.arabiannightslounge.net,CLOSED,,,,,X,,,,,,,,39.2719373,-76.6028982
10,Banditos,1118 S Charles St,(443) 835-1517,https://www.banditosbk.com/,CLOSED,,,,,,,,,https://www.toasttab.com/banditos-bar-kitchen/giftcards,,,3/18/20,39.2761027,-76.6144276
11,Barflys,620 E Fort Ave,(443) 682-7227,www.barflysbaltimore.com,OPEN,,X,,,,,,,,,,3/18/20,39.2730161,-76.6046491
12,Barracudas,1230 E Fort Ave,(410) 685-2832,https://barracudalpt.com/,OPEN,,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2702496,-76.5967353
13,Berries by Quicha,920 Light St,(410) 440-3239,https://berriesbyquicha.com/,OPEN,,X,X,X,,,,,,,,3/18/20,39.2783913,-76.6128607
14,Blooming Deli,1448 Light St,(410) 800-2455,https://www.bloomingdeli.com/,,,,,,,X,,X,,,,3/18/20,39.2729538,-76.611922
15,Blue Agave,1032 Light St,(410) 576-3938,www.blueagaverestaurant.com,OPEN,,X,X,X,X,X,,,,,,3/18/20,39.2774064,-76.6126949
16,Blue Moon Too,1024 Light St,(443) 759-4907,https://bluemoonbaltimore.com/?fbclid=IwAR1y6AX8Rj56sgb5D67r1bI0GgyMLyERVryZ0O6RznF1ILq6o1BqMB6Bz4o,CLOSED,,,,,,,,,,,,3/18/20,39.2775911,-76.6127393
17,Boaz Bistro,1002 Light St,(443) 352-3417,https://www.facebook.com/BistroBoaz/,OPEN,Order by phone,X,X,X,,,,,,,,,39.2781153,-76.6128198
