Name,Address
DiPasquales,"500 Harborview Dr, Baltimore, MD 21230"
3 Bean,"209 Key Hwy, Baltimore, MD 21230"
Home Maid,"1400 Key Hwy, Baltimore, MD 21230"
Little Havana,"1325 Key Hwy, Baltimore, MD 21230"
Order & Chaos,"1410 Key Hwy, Baltimore, MD 21230"
Rusty Scupper,"402 Key Hwy, Baltimore, MD 21230"
Al Sham,"1038 Light St, Baltimore, MD 21230"
Blooming Deli,"1448 Light St, Baltimore, MD 21230"
Blue Agave,"1032 Light St, Baltimore, MD 21230"
Blue Moon Too,"1024 Light St, Baltimore, MD 21230"
Bodhi Corner,"3500 Chestnut Ave, Baltimore, MD 21211"
Brendali Italian Ristorante,"1022 Light St, Baltimore, MD 21230"
Brewers Cask,"1236 Light St, Baltimore, MD 21230"
Byblos,"1033 Light St, Baltimore, MD 21230"
Diablo Doughnuts,"1035 Light St, Baltimore, MD 21230"
Dont Know Tavern,"1453 Light St, Baltimore, MD 21230"
El Pollo Real,"1075 Light St, Baltimore, MD 21230"
Himalayan Bistro,"1030 Light St, Baltimore, MD 21230"
Kiku Sushi,"1017 Light St, Baltimore, MD 21230"
Light Street Cafe,"1121 Light St, Baltimore, MD 21230"
Lucky Fortune,"1116 Light St, Baltimore, MD 21230"
Maria Ds,"1016 Light St, Baltimore, MD 21230"
Poke Bowl,"1040 Light St, Baltimore, MD 21230"
Sams Bagels,"915 Light St, Baltimore, MD 21230"
Shoyou Sushi,"1450 Light St, Baltimore, MD 21230"
Sun Hing Chinese Food Carryout,"1451 Light St, Baltimore, MD 21230"
Thai Arroy,"1019 Light St, Baltimore, MD 21230"
Thai Yum,"1006 Light St, Baltimore, MD 21230"
Tinybrickoven,"1036 Light St, Baltimore, MD 21230"
Urban Deli,"1025 Light St, Baltimore, MD 21230"
,
