num_1,ENTRY,tycod,Location,latitude,longitude,X,Y
F140179229,12/1/14 9:50,69D04,5011 JAY ST NE DC,38.90162679,-76.92938232,406125.51,137088.26
F140179236,12/1/14 10:08,67A02R,5002 HAYES ST NE DC: @MERRITT ELEMENTARY SCHOOL,38.90023004,-76.9301312,406060.67,136933.16
F140001857,1/4/14 21:05,67B01,1355 NEW YORK AVE NE,38.9150679,-76.98582945,401228.95,138578.06
F140001898,1/4/14 23:07,69D05,8 O ST SW,38.87279032,-77.00950184,399175.46,133884.86
F140001909,1/4/14 23:50,67B03,47TH ST NE / CENTRAL AVE NE,38.89028575,-76.93487815,405649.69,135828.96
F140001930,1/5/14 0:49,71B01,2616 EVARTS ST NE,38.92469301,-76.96896264,402691.37,139646.89
F140002016,1/5/14 6:57,71C02,700 CONSTITUTION AVE NE,38.89232178,-76.99535661,400402.83,136052.97
F140002084,1/5/14 11:03,69D04,5810 9TH ST NW,38.96090599,-77.02624778,397725.11,143666.72
F140002331,1/5/14 22:29,69D02S,2120 16TH ST NW,38.91878002,-77.03697235,396793.72,138990.69
F140002368,1/6/14 1:07,FOOD,4361 MARTIN LUTHER KING JR AVE SW,38.82670902,-77.01308006,398864.22,128769.55
F140002428,1/6/14 6:31,69D05,3600 ROCK CREEK CHURCH RD NW,38.93425195,-77.02647487,397704.57,140707.89
F140002720,1/6/14 18:21,69D05,1934 BENNETT PL NE,38.89965968,-76.975102,402159.76,136867.82
F140179365,12/1/14 14:11,69D05,3432 25TH ST SE DC,38.84659971,-76.96958144,402640.6,130977.91
F140179438,12/1/14 16:16,69D05,1728 WEBSTER ST NE DC,38.9444454,-76.9805111,401689.49,141839.3
F140179462,12/1/14 17:08,71B01,1050 BRENTWOOD RD NE DC,38.91922199,-76.99242868,400656.59,139039.13
F140179600,12/1/14 21:43,69D04S,1425 N ST NW DC:613,38.90750013,-77.03309689,397129.35,137738.4
F140179700,12/2/14 4:13,69D04,"855 20TH ST NE DC,10",38.90209614,-76.97495924,402172.07,137138.29
F140000019,1/1/14 0:31,69D03,400 MORSE ST NE,38.90784128,-76.99951647,400041.94,137775.75
F140000058,1/1/14 1:11,67B01,NEW HAMPSHIRE AVE NW / U ST NW,38.9170022,-77.03649232,396835.27,138793.32
F140000092,1/1/14 1:44,67B00,1100 19TH ST NE,38.90375135,-76.97622089,402062.585,137322.003
F140000309,1/1/14 11:04,71B01,200 51ST ST NE,38.89234369,-76.92940546,406124.3,136057.76
F140000409,1/1/14 15:20,69D04S,5524 8TH ST NW,38.95706267,-77.02428812,397894.84,143240.03
F140000443,1/1/14 16:29,69D03,716 MADISON ST NW,38.95828952,-77.02335676,397975.6,143376.2
F140000479,1/1/14 18:23,69D04S,715 KEARNY ST NE,38.930215,-76.99550326,400389.9,140259.43
F140000497,1/1/14 18:56,69D05,1321 QUINCY ST NW,38.93782024,-77.03050259,397355.49,141104.11
F140000521,1/1/14 19:59,67B01,1355 NEW YORK AVE NE,38.9150679,-76.98582945,401228.95,138578.06
F140000560,1/1/14 21:49,67B03U,ALABAMA AVE SE / CONGRESS ST SE,38.84553189,-76.98509253,401294.12,130859.04
F140000566,1/1/14 21:56,69D05,1225 RANDOLPH ST NW,38.93886318,-77.02886607,397497.41,141219.84
F140000590,1/1/14 23:13,67B01V,4000 MINNESOTA AVE NE,38.89875485,-76.94674841,404619.33,136768.43
F140000673,1/2/14 6:58,69D05,724 MISSISSIPPI AVE SE,38.83887016,-76.99483128,400448.74,130119.45
F140000904,1/2/14 18:57,67B03U,9TH ST NW / SOMERSET PL NW,38.96670728,-77.02596502,397749.8,144310.71
F140001176,1/3/14 11:16,69D02,4801 CONNECTICUT AVE NW,38.95241039,-77.0676875,394132.84,142725.48
F140001195,1/3/14 12:15,69C01,534 23RD PL NE,38.89700117,-76.9736547,402285.39,136572.74
F140001244,1/3/14 14:34,55B05,353 CEDAR ST NW,38.97488677,-77.018248,398418.76,145218.55
F140001297,1/3/14 16:53,69D01,3005 BLADENSBURG RD NE,38.92886548,-76.9592686,403531.77,140110.4
F140001366,1/3/14 20:13,69D04,1219 OATES ST NE,38.90502148,-76.9877456,401062.92,137462.8
F140001368,1/3/14 20:18,69D05S,5819 7TH ST NW,38.96086134,-77.02215246,398080.05,143661.67
F140001395,1/3/14 21:07,69D05,1813 6TH ST NW,38.9144403,-77.01968077,398293.16,138508.48
F140001472,1/4/14 1:03,69D03S,2122 CALIFORNIA ST NW,38.91621003,-77.04744665,395885.23,138705.82
F140001589,1/4/14 9:35,69D04,4051 GRANT ST NE,38.89815917,-76.94451128,404813.43,136702.42
F140001592,1/4/14 9:42,69D05,324 M ST SW,38.8761053,-77.0168782,398535.43,134252.94
F140001626,1/4/14 10:56,69D04,4105 WISCONSIN AVE NW,38.94258432,-77.0761951,393394.49,141635.28
F140001664,1/4/14 12:53,69D03S,1959 E ST NW,38.8962313,-77.04452726,396137.33,136487.89
F140001714,1/4/14 15:05,69D04,1325 18TH ST NW,38.90799161,-77.04136607,396412.15,137793.25
F140001737,1/4/14 15:46,69D05,1410 18TH PL SE,38.8729065,-76.97819154,401892.47,133897.94
F140001791,1/4/14 17:43,52C03G,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140001800,1/4/14 18:13,67B01,919 RHODE ISLAND AVE NE,38.92047063,-76.99607238,400340.6,139177.72
F140002748,1/6/14 19:39,67B01,46TH ST NE / CENTRAL AVE NE,38.89014312,-76.93678985,405483.85,135813.01
F140002757,1/6/14 19:58,67B01,5400 HUNT PL NE,38.90015509,-76.92321291,406660.794,136925.322
F140002822,1/6/14 22:42,69D04,2900 14TH ST NW,38.92705705,-77.03274396,397160.74,139909.37
F140002887,1/7/14 2:22,69D04,954 SOUTHERN AVE SE,38.83204095,-76.9877549,401063.2,129361.42
F140002949,1/7/14 7:51,69D02S,1845 HARVARD ST NW,38.9283929,-77.04323549,396251.08,140058.04
F140002968,1/7/14 8:41,69D03S,2100 2ND ST SW,38.86461801,-77.01367015,398813.611,132977.719
F140003047,1/7/14 11:17,52C03G,3014 14TH ST NW,38.92774339,-77.03275327,397159.96,139985.56
F140003117,1/7/14 13:58,69D04,1670C BEEKMAN PL NW,38.91938814,-77.03813745,396692.71,139058.238
F140003141,1/7/14 14:48,69D04,1371 PEABODY ST NW,38.96337953,-77.03279549,397157.72,143941.49
F140003152,1/7/14 14:59,69D04,601 EDGEWOOD ST NE,38.92389978,-76.99749767,400216.99,139558.38
F140003204,1/7/14 16:34,69D05,3034 RODMAN ST NW,38.93813342,-77.06184563,394638.14,141140.25
F140003267,1/7/14 18:28,69D02,3107 NAYLOR RD SE,38.85243414,-76.96366674,403153.79,131625.76
F140003273,1/7/14 18:40,71D03,16TH ST NW / KALORAMA RD NW,38.92273221,-77.03648787,396835.91,139429.4
F140003470,1/8/14 0:40,71B01,514 RIDGE RD SE,38.88209307,-76.94578419,404704.07,134918.89
F140003601,1/8/14 9:26,67D02,500 INDIANA AVE NW,38.89408454,-77.01890467,398360,136248.81
F140003725,1/8/14 13:08,67B01U,L ST SE / NEW JERSEY AVE SE,38.87752885,-77.00454242,399605.85,134410.84
F140003738,1/8/14 13:21,52C03G,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140003943,1/8/14 17:34,69D05,719 SOMERSET PL NW,38.96685268,-77.02337826,397973.98,144326.79
