SiteName,NRCSiteName,UnitNumber,Full,lat,lon
Arkansas Nuclear,"Arkansas Nuclear One, Unit 1",1,"35.310278,-93.231389",35.31028,-93.23139
Arkansas Nuclear,"Arkansas Nuclear One, Unit 2",2,"35.310278,-93.231389",35.31028,-93.2314
Beaver Valley,"Beaver Valley Power Station, Unit 1",1,"40.623333,-80.430556",40.62333,-80.43056
Beaver Valley,"Beaver Valley Power Station, Unit 2",2,"40.623333,-80.430556",40.62333,-80.43057
Braidwood,"Braidwood Station, Unit 1",1,"41.243611,-88.229167",41.24361,-88.22917
Braidwood,"Braidwood Station, Unit 2",2,"41.243611,-88.229167",41.24361,-88.22918
Browns Ferry,"Browns Ferry Nuclear Plant, Unit 1",1,"34.703889,-87.118611",34.70389,-87.11861
Browns Ferry,"Browns Ferry Nuclear Plant, Unit 2",2,"34.703889,-87.118611",34.70389,-87.11862
Browns Ferry,"Browns Ferry Nuclear Plant, Unit 3",3,"34.703889,-87.118611",34.70389,-87.11863
Brunswick,"Brunswick Steam Electric Plant, Unit 1",1,"33.958333,-78.010278",33.95833,-78.01028
Brunswick,"Brunswick Steam Electric Plant, Unit 2",2,"33.958333,-78.010278",33.95833,-78.01029
Byron,"Byron Station, Unit 1",1,"42.074167,-89.281944",42.07417,-89.28194
Byron,"Byron Station, Unit 2",2,"42.074167,-89.281944",42.07417,-89.28195
Callaway,Callaway Plant,1,"38.761667,-91.78",38.76167,-91.78
Calvert Cliffs,"Calvert Cliffs Nuclear Power Plant, Unit 1",1,"38.431944,-76.442222",38.43194,-76.44222
Calvert Cliffs,"Calvert Cliffs Nuclear Power Plant, Unit 2",2,"38.431944,-76.442222",38.43194,-76.44223
Catawba,"Catawba Nuclear Station, Unit 1",1,"35.051667,-81.07",35.05167,-81.07
Catawba,"Catawba Nuclear Station, Unit 2",2,"35.051667,-81.07",35.05167,-81.08
Clinton,"Clinton Power Station, Unit 1",1,"40.172222,-88.835",40.17222,-88.835
Columbia Generating Station,Columbia Generating Station,1,"46.471111,-119.333889",46.47111,-119.33389
Comanche Peak,"Comanche Peak Nuclear Power Plant, Unit 1",1,"32.298333,-97.785",32.29833,-97.785
Comanche Peak,"Comanche Peak Nuclear Power Plant, Unit 2",2,"32.298333,-97.785",32.29833,-97.786
Cooper,Cooper Nuclear Station ,1,"40.361944,-95.641389",40.36194,-95.64139
Davis-Besse,"Davis-Besse Nuclear Power Station, Unit 1",1,"41.596667,-83.086389",41.59667,-83.0864
Diablo Canyon,"Diablo Canyon Nuclear Power Plant, Unit 1",1,"35.210861,-120.856175",35.21086,-120.85618
Diablo Canyon,"Diablo Canyon Nuclear Power Plant, Unit 2",2,"35.210861,-120.856175",35.21086,-120.85619
D.C. Cook,"Donald C. Cook Nuclear Plant, Unit 1",1,"41.975391,-86.565914",41.97539,-86.56591
D.C. Cook,"Donald C. Cook Nuclear Plant, Unit 2",2,"41.975391,-86.565914",41.97539,-86.56592
Dresden,"Dresden Nuclear Power Station, Unit 2",2,"41.389722,-88.268056",41.38972,-88.26806
Dresden,"Dresden Nuclear Power Station, Unit 3",3,"41.389722,-88.268056",41.38972,-88.26807
Duane Arnold,Duane Arnold Energy Center,1,"42.100556,-91.777222",42.10056,-91.77722
Hatch,"Edwin I. Hatch Nuclear Plant, Unit 1",1,"31.934167,-82.343889",31.93417,-82.34389
Hatch,"Edwin I. Hatch Nuclear Plant, Unit 2",2,"31.934167,-82.343889",31.93417,-82.3439
Fermi,"Fermi, Unit 2",2,"41.962778,-83.2575",41.96278,-83.2575
Fort Calhoun,"Fort Calhoun Station, Unit 1",1,"41.520278,-96.077222",41.52028,-96.07722
Grand Gulf,"Grand Gulf Nuclear Station, Unit 1",1,"32.006667,-91.048333",32.00667,-91.04833
Robinson,"H. B. Robinson Steam Electric Plant, Unit 2",2,"34.402778,-80.158333",34.40278,-80.15834
Hope Creek,"Hope Creek Generating Station, Unit 1",1,"39.467778,-75.538056",39.46778,-75.53806
Indian Point,"Indian Point Nuclear Generating, Unit 2",2,"41.269722,-73.952222",41.26972,-73.95222
Indian Point,"Indian Point Nuclear Generating, Unit 3",3,"41.269722,-73.952222",41.26972,-73.95223
FitzPatrick,James A. FitzPatrick Nuclear Power Plant,1,"43.523333,-76.398333",43.52333,-76.39833
Farley,"Joseph M. Farley Nuclear Plant, Unit 1",1,"31.223056,-85.111667",31.22306,-85.11167
Farley,"Joseph M. Farley Nuclear Plant, Unit 2",2,"31.223056,-85.111667",31.22306,-85.11168
La Salle,"LaSalle County Station, Unit  1",1,"41.245,-88.669",41.245,-88.669
La Salle,"LaSalle County Station, Unit  2",2,"41.245,-88.669",41.245,-88.67
Limerick,"Limerick Generating Station, Unit 1",1,"40.226667,-75.587222",40.22667,-75.58722
Limerick,"Limerick Generating Station, Unit 2",2,"40.226667,-75.587222",40.22667,-75.58723
