Plant Name Unit Number,NRC Reactor Unit Web Page ,Docket  Number,NRC Region,Licensee,Reactor and Containment Type,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Arkansas Nuclear One, Unit 1",ANO 1,5000313,4,"Entergy Operations, Inc.",PWR-DRYAMB,B&W LLP,BECH,BECH,6-Dec-68,21-May-74,19-Dec-74,20-Jun-01,20-May-34,2568,,98%,56%,102%,87%,90%,99%,83%,,78%,92%,92%
"Arkansas Nuclear One, Unit 2",ANO 2,5000368,4,"Entergy Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,6-Dec-72,1-Sep-78,26-Mar-80,30-Jun-05,17-Jul-38,3026,,85%,91%,93%,90%,97%,90%,91%,,91%,99%,90%
"Beaver Valley Power Station, Unit 1",Beaver Valley 1,5000334,1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,26-Jun-70,2-Jul-76,1-Oct-76,5-Nov-09,29-Jan-36,2900,,86%,86%,92%,101%,91%,92%,101%,,101%,93%,83%
"Beaver Valley Power Station, Unit 2",Beaver Valley 2,5000412,1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,3-May-74,14-Aug-87,17-Nov-87,5-Nov-09,27-May-47,2900,,98%,97%,91%,102%,84%,87%,103%,,93%,100%,91%
"Braidwood Station, Unit 1",Braidwood 1,5000456,3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,31-Dec-75,2-Jul-87,29-Jul-88,N/A,17-Oct-26,3645,,103%,95%,91%,101%,89%,95%,101%,,100%,95%,97%
"Braidwood Station, Unit 2",Braidwood 2,5000457,3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,31-Dec-75,20-May-88,17-Oct-88,N/A,18-Dec-27,3645,,96%,98%,93%,93%,99%,93%,92%,,94%,101%,96%
"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,5000259,2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,10-May-67,20-Dec-73,1-Aug-74,4-May-06,20-Dec-33,3458,,90%,94%,88%,91%,86%,94%,88%,,,,
"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,5000260,2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,10-May-67,28-Jun-74,1-Mar-75,4-May-06,28-Jun-34,3458,,98%,79%,99%,80%,91%,94%,98%,,90%,100%,86%
"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,5000296,2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,31-Jul-68,2-Jul-76,1-Mar-77,4-May-06,2-Jul-36,3458,,88%,89%,83%,87%,81%,95%,81%,,94%,89%,96%
"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,5000325,2,"Duke Energy Progress, Inc.",BWR-MARK 1,GE 4,UE&C,BRRT,7-Feb-70,8-Sep-76,18-Mar-77,26-Jun-06,8-Sep-36,2923,,89%,92%,77%,100%,83%,98%,85%,,94%,86%,101%
"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,5000324,2,"Duke Energy Progress, Inc.",BWR-MARK 1,GE 4,UE&C,BRRT,7-Feb-70,27-Dec-74,3-Nov-75,26-Jun-06,27-Dec-34,2923,,98%,73%,98%,79%,99%,80%,95%,,86%,98%,99%
"Byron Station, Unit 1",Byron 1,5000454,3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,31-Dec-75,14-Feb-85,16-Sep-85,19-Nov-15,31-Oct-44,3645,,97%,96%,88%,88%,101%,94%,95%,,94%,102%,94%
"Byron Station, Unit 2",Byron 2,5000455,3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,31-Dec-75,30-Jan-87,2-Aug-87,19-Nov-15,6-Nov-46,3645,,94%,86%,94%,93%,96%,102%,96%,,96%,96%,101%
Callaway Plant,Callaway,5000483,4,Union Electric Co.,PWR-DRYAMB,WEST 4LP,BECH,DANI,16-Apr-76,18-Oct-84,19-Dec-84,6-Mar-15,18-Oct-44,3565,,89%,77%,103%,90%,86%,98%,90%,,77%,78%,97%
