Study,Latitude,Longitude,Report,Video
"Simulation of an Attic Fire in a Wood Frame Residential Structure - Chicago, IL",41.836944,-87.684722,http://dx.doi.org/10.6028/NIST.TN.1838,https://youtu.be/nY3JO_Kf9Qk
"Simulation of a Fire in a Hillside Residential Structure - San Francisco, CA",37.78333,-122.416667,http://dx.doi.org/10.6028/NIST.TN.1856,https://youtu.be/pgDbsv62cu8
"Simulation of a Residential Wind Driven Basement Fire - Riverdale Heights, MD",39.6091667,-77.5247222,http://dx.doi.org/10.6028/NIST.TN.1870,
Simulation of the Dynamics of a Wind-Driven Fire in a Ranch-Style House - Texas,29.7630556,-95.3630556,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=909779,
"Simulation of the Dynamics of a Fire in a Two-Story Duplex - Iowa, December 22, 1999",40.3972222,-91.3847222,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=861122,
Report of the Technical Investigation of The Station Nightclub Fire,41.7,-71.516667,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=100988,
"Technical Study of the Sofa Super Store Fire, South Carolina, June 18, 2007, Volume I",32.784618,-79.940918,http://dx.doi.org/10.6028/NIST.SP.1118v1,
"Initial Reconnaissance of the 2011 Wildland-Urban Interfaces Fires in Amarillo, Texas",35.2219444,-101.8308333,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=908719,
A Case Study of a Community Affected by the Witch and Guejito Fires,33.03926,-117.0676398,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=902864,
"Cook County Administration Building Fire, 69 West Washington, Chicago, Illinois",41.8,-87.6,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=861327,
World Trade Center Disaster Study,40.7141667,-74.0063889,http://www.nist.gov/el/disasterstudies/wtc/index.cfm,
Simulation of the Dynamics of a Fire in the Basement of a Hardware Store,40.742054,-73.769417,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=861312,
Simulation of the Dynamics of a Fire in a One-Story Restaurant,29.7630556,-95.3630556,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=861191,
Simulation of the Dynamics of the Fire at 3146 Cherry Road NE Washington D.C.,38.89511,-77.03637,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=908795,
Analysis of the Happyland Social Club Fire With HAZARD I,40.84920813,-73.85306994,http://www.nist.gov/manuscript-publication-search.cfm?pub_id=908806,
"First Interstate Bank Building Fire, California, 1988",34.05223,-118.24368,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=908807,
"The Fire at the Dupont Plaza Hotel and Casino--December 31, 1986",18.46633,-66.10572,http://www.nist.gov/customcf/get_pdf.cfm?pub_id=908808,
